NodeName,Centroid_Array_1,Centroid_Array_2,Centroid_Array_3,Size_Data1,Size_Data2
one cell,4.0251572327044,0.0488383838383838,0,231680,231680
N. vitripennis,0.150943396226415,0.0613131313131313,0.026,17,17
D. melanogaster 1,5.38364779874214,0.0805050505050505,0,123143,131311
D. melanogaster 2,5.43396226415094,0.0584343434343434,0.001,8142,131311
D. melanogaster 3,0,0.0814646464646465,-0.027,10,131311
D. melanogaster 4,0.10062893081761,0.0593939393939394,-0.011,8,131311
D. melanogaster 5,2.31446540880503,0.0584343434343434,0.00800000000000001,3,131311
D. melanogaster 6,3.06918238993711,0.0805050505050505,0.014,2,131311
D. melanogaster 7,4.83018867924528,0.0651515151515152,0.016,3,131311
G. natator 1,0.050314465408805,0.118888888888889,-0.081,215,124775
G. natator 2,6.59119496855346,0.0651515151515152,-0.085,324,124775
G. natator 3,7.54716981132075,0.0584343434343434,-0.076,52,124775
G. natator 4,6.33962264150943,0.0776262626262626,0.033,81884,124775
G. natator 5,6.79245283018868,0.0766666666666667,-0.041,41482,124775
G. natator 6,0.30188679245283,0.068989898989899,-0.074,4,124775
G. natator 7,4.88050314465409,0.068030303030303,-0.058,152,124775
G. natator 8,0.251572327044025,0.069949494949495,-0.067,31,124775
G. natator 9,5.18238993710692,0.0632323232323232,-0.068,3,124775
G. natator 10,5.13207547169811,0.0622727272727273,-0.062,13,124775
G. natator 11,4.12578616352201,0.0651515151515152,-0.036,398,124775
G. natator 12,0.20125786163522,0.0584343434343434,-0.034,4,124775
G. natator 13,0.20125786163522,0.0622727272727273,-0.033,4,124775
G. natator 14,0.20125786163522,0.0584343434343434,-0.016,9,124775
G. natator 15,0.10062893081761,0.0862626262626263,-0.011,6,124775
G. natator 16,0.251572327044025,0.0824242424242424,-0.00699999999999999,21,124775
G. natator 17,0.805031446540881,0.0958585858585859,-0.00499999999999999,2,124775
G. natator 18,4.22641509433962,0.0632323232323232,0.025,141,124775
G. natator 19,4.77987421383648,0.0824242424242424,0.05,6,124775
G. natator 20,5.38364779874214,0.0728282828282828,0.05,2,124775
G. natator 21,4.57861635220126,0.0824242424242424,0.051,2,124775
G. natator 22,5.23270440251572,0.0824242424242424,0.054,2,124775
G. natator 23,5.48427672955975,0.0824242424242424,0.057,2,124775
G. natator 24,5.68553459119497,0.0824242424242424,0.059,2,124775
G. natator 25,6.13836477987421,0.0824242424242424,0.065,2,124775
G. natator 26,6.94339622641509,0.0565151515151515,0.072,12,124775
C. perla main 1,0.050314465408805,0.116969696969697,-0.089,7,1010
C. perla main 2,0.10062893081761,0.0977777777777778,-0.074,3,1010
C. perla main 3,0.150943396226415,0.0661111111111111,-0.031,3,1010
C. perla main 4,0.20125786163522,0.0718686868686869,-0.00899999999999999,120,1010
C. perla main 5,0.10062893081761,0.0833838383838384,-0.00799999999999999,5,1010
C. perla main 6,2.51572327044025,0.0910606060606061,0.00900000000000001,713,1010
C. perla main 7,2.91823899371069,0.0584343434343434,0.013,146,1010
C. perla main 8,3.16981132075472,0.0872222222222222,0.015,2,1010
C. perla main 9,3.37106918238994,0.0891414141414141,0.016,6,1010
C. perla main 10,4.32704402515723,0.0584343434343434,0.018,2,1010
C. perla main 11,3.37106918238994,0.0584343434343434,0.019,3,1010
C. perla secondary 1,0.10062893081761,0.0747474747474748,-0.018,45,59
C. perla secondary 2,0.050314465408805,0.0824242424242424,-0.014,14,59
C. perla tertiary 1,0.050314465408805,0.0785858585858586,-0.019,13,16
C. perla tertiary 2,0.10062893081761,0.0709090909090909,-0.011,3,16
O. labronica 1,3.11949685534591,0.0545959595959596,0,92061,446894
O. labronica 2,1.76100628930818,0.120808080808081,-0.057,177422,446894
O. labronica 3,1.76100628930818,0.120808080808081,0.057,177411,446894
P. sauteri 1,1.66037735849057,0.0833838383838384,-0.056,140217,288195
P. sauteri 2,0.352201257861635,0.113131313131313,-0.088,263,288195
P. sauteri 3,0.050314465408805,0.0526767676767677,-0.086,4,288195
P. sauteri 4,0,0.0526767676767677,-0.074,3,288195
P. sauteri 5,2.06289308176101,0.13520202020202,-0.027,2,288195
P. sauteri 6,1.25786163522013,0.133282828282828,-0.015,2,288195
P. sauteri 7,0.30188679245283,0.139040404040404,-0.012,2,288195
P. sauteri 8,1.61006289308176,0.0833838383838384,0.061,145178,288195
P. sauteri 9,0.150943396226415,0.123686868686869,0.035,2510,288195
P. sauteri 10,0.30188679245283,0.139040404040404,0.012,2,288195
P. sauteri 11,1.86163522012579,0.131363636363636,0.024,3,288195
P. sauteri 12,2.06289308176101,0.13520202020202,0.028,4,288195
P. sauteri 13,2.36477987421384,0.132323232323232,0.034,2,288195
P. sauteri 14,0,0.0526767676767677,0.074,3,288195
P. communis 1,4.77987421383648,0.106414141414141,-0.00499999999999999,1235204,1236128
P. communis 2,0.452830188679245,0.0641919191919192,-0.028,18,1236128
P. communis 3,0.955974842767296,0.0958585858585859,-0.00499999999999999,6,1236128
P. communis 4,0.30188679245283,0.0555555555555556,0.044,335,1236128
P. communis 5,0.150943396226415,0.0536363636363636,0.055,41,1236128
P. communis 6,0.20125786163522,0.109292929292929,0.072,373,1236128
P. communis 7,0.150943396226415,0.122727272727273,0.081,129,1236128
P. communis 8,0.40251572327044,0.0536363636363636,0.072,2,1236128
P. communis 9,0.40251572327044,0.0565151515151515,0.082,2,1236128
P. communis 10,0.50314465408805,0.0536363636363636,0.088,18,1236128
5-cell linear 1,0.10062893081761,0.128484848484848,-0.084,122,78906
5-cell linear 2,0.553459119496855,0.0632323232323232,-0.017,13372,78906
5-cell linear 3,4.62893081761006,0.069949494949495,-0.082,3125,78906
5-cell linear 4,0.150943396226415,0.110252525252525,-0.07,78,78906
5-cell linear 5,0.20125786163522,0.0948989898989899,-0.054,26,78906
5-cell linear 6,0.20125786163522,0.0968181818181818,-0.019,338,78906
5-cell linear 7,0.30188679245283,0.0584343434343434,-0.02,99,78906
5-cell linear 8,0.352201257861635,0.0603535353535354,-0.03,4,78906
5-cell linear 9,1.71069182389937,0.0584343434343434,-0.021,107,78906
5-cell linear 10,0.40251572327044,0.0603535353535354,-0.024,7,78906
5-cell linear 11,0.251572327044025,0.0824242424242424,-0.016,32,78906
5-cell linear 12,0.30188679245283,0.0747474747474748,-0.015,10,78906
5-cell linear 13,0.30188679245283,0.0766666666666667,-0.00899999999999999,3,78906
5-cell linear 14,0.70440251572327,0.0613131313131313,-0.00799999999999999,12,78906
5-cell linear 15,2.51572327044025,0.0776262626262626,0.032,60721,78906
5-cell linear 16,2.06289308176101,0.0555555555555556,0.026,600,78906
5-cell linear 17,0.452830188679245,0.068030303030303,0.00900000000000001,2,78906
5-cell linear 18,2.36477987421384,0.109292929292929,0.023,2,78906
5-cell linear 19,0.251572327044025,0.0555555555555556,0.035,60,78906
5-cell linear 20,3.67295597484277,0.102575757575758,0.031,3,78906
5-cell linear 21,0.251572327044025,0.0545959595959596,0.048,65,78906
5-cell linear 22,0.251572327044025,0.0574747474747475,0.054,48,78906
5-cell linear 23,4.37735849056604,0.112171717171717,0.04,2,78906
5-cell linear 24,4.93081761006289,0.124646464646465,0.049,3,78906
5-cell linear 25,0.10062893081761,0.0536363636363636,0.057,13,78906
5-cell linear 26,0.30188679245283,0.0641919191919192,0.053,3,78906
5-cell linear 27,0.40251572327044,0.0603535353535354,0.058,12,78906
5-cell linear 28,5.68553459119497,0.124646464646465,0.058,2,78906
5-cell linear 29,0.251572327044025,0.0536363636363636,0.065,2,78906
5-cell linear 30,5.13207547169811,0.0545959595959596,0.068,2,78906
5-cell linear 31,6.33962264150943,0.128484848484848,0.068,3,78906
5-cell linear 32,0.352201257861635,0.0565151515151515,0.069,2,78906
5-cell linear 33,0.352201257861635,0.0574747474747475,0.073,2,78906
5-cell linear 34,0.40251572327044,0.0555555555555556,0.073,2,78906
5-cell linear 35,0.352201257861635,0.0622727272727273,0.08,13,78906
5-cell linear 36,7.19496855345912,0.131363636363636,0.081,2,78906
5-cell linear 37,0.50314465408805,0.0536363636363636,0.084,4,78906
5-cell linear 38,0.352201257861635,0.0641919191919192,0.089,3,78906
6-cell linear 1,0.10062893081761,0.120808080808081,-0.088,36,3304
6-cell linear 2,0.30188679245283,0.0795454545454545,-0.071,1719,3304
6-cell linear 3,0.150943396226415,0.114090909090909,-0.09,3,3304
6-cell linear 4,0.150943396226415,0.110252525252525,-0.081,53,3304
6-cell linear 5,0.30188679245283,0.0776262626262626,-0.063,4,3304
6-cell linear 6,0.30188679245283,0.0766666666666667,-0.055,2,3304
6-cell linear 7,3.57232704402516,0.069949494949495,-0.054,3,3304
6-cell linear 8,0.20125786163522,0.0584343434343434,-0.027,14,3304
6-cell linear 9,0.40251572327044,0.0641919191919192,-0.017,132,3304
6-cell linear 10,0.352201257861635,0.0603535353535354,-0.026,2,3304
6-cell linear 11,1.20754716981132,0.0651515151515152,-0.00799999999999999,60,3304
6-cell linear 12,0.452830188679245,0.0737878787878788,-0.00399999999999999,101,3304
6-cell linear 13,0.805031446540881,0.0603535353535354,-0.00399999999999999,30,3304
6-cell linear 14,0.352201257861635,0.0622727272727273,0.00700000000000001,9,3304
6-cell linear 15,0.452830188679245,0.0728282828282828,0.00600000000000001,274,3304
6-cell linear 16,0.20125786163522,0.0901010101010101,0.00700000000000001,39,3304
6-cell linear 17,0.754716981132076,0.0574747474747475,0.023,591,3304
6-cell linear 18,2.36477987421384,0.0622727272727273,0.02,19,3304
6-cell linear 19,0.150943396226415,0.0785858585858586,0.025,13,3304
6-cell linear 20,0.050314465408805,0.0555555555555556,0.03,23,3304
6-cell linear 21,1.25786163522013,0.0574747474747475,0.028,14,3304
6-cell linear 22,1.71069182389937,0.0603535353535354,0.033,23,3304
6-cell linear 23,0.251572327044025,0.0622727272727273,0.03,2,3304
6-cell linear 24,0.10062893081761,0.092979797979798,0.042,31,3304
6-cell linear 25,0.150943396226415,0.0805050505050505,0.033,2,3304
6-cell linear 26,0.20125786163522,0.0555555555555556,0.042,35,3304
6-cell linear 27,0.20125786163522,0.0545959595959596,0.051,31,3304
6-cell linear 28,0.251572327044025,0.0574747474747475,0.055,14,3304
6-cell linear 29,0.050314465408805,0.0536363636363636,0.058,7,3304
6-cell linear 30,0.352201257861635,0.0565151515151515,0.062,4,3304
6-cell linear 31,0.553459119496855,0.0545959595959596,0.063,3,3304
6-cell linear 32,0.30188679245283,0.0584343434343434,0.067,4,3304
6-cell linear 33,0.452830188679245,0.0545959595959596,0.071,3,3304
6-cell linear 34,0.352201257861635,0.0622727272727273,0.083,2,3304
6-cell linear 35,0.352201257861635,0.0632323232323232,0.087,2,3304
7-cell linear 1,0.150943396226415,0.108333333333333,-0.083,76,1938
7-cell linear 2,0.30188679245283,0.0776262626262626,-0.075,693,1938
7-cell linear 3,0.251572327044025,0.0948989898989899,-0.082,122,1938
7-cell linear 4,0.30188679245283,0.0881818181818182,-0.079,2,1938
7-cell linear 5,0.20125786163522,0.0939393939393939,-0.072,36,1938
7-cell linear 6,0.30188679245283,0.0776262626262626,-0.067,2,1938
7-cell linear 7,0.20125786163522,0.0805050505050505,-0.059,15,1938
7-cell linear 8,0.30188679245283,0.0632323232323232,-0.017,120,1938
7-cell linear 9,0.20125786163522,0.0593939393939394,-0.028,3,1938
7-cell linear 10,0.30188679245283,0.069949494949495,-0.018,3,1938
7-cell linear 11,0.251572327044025,0.0593939393939394,-0.00699999999999999,5,1938
7-cell linear 12,0.40251572327044,0.0670707070707071,-0.00899999999999999,2,1938
7-cell linear 13,0.955974842767296,0.0632323232323232,-0.00699999999999999,2,1938
7-cell linear 14,0.955974842767296,0.0641919191919192,-0.00399999999999999,19,1938
